pdf_id,dept,from_url,pdf_url
19545,Department of Finance,https://www.cityofchicago.org/city/en/depts/fin/supp_info/revenue/tax_form_list/motor_vehicle_lessortaxforms.html,https://www.cityofchicago.org/dam/city/depts/rev/supp_info/TaxForms/2009TaxForms/Motor Vehicle Lessor Tax.pdf
1732,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/tif/111th_kedzie_tif.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/T_073_MtGreenwoodPlazaRDA.pdf
9881,Department of Human Resources,https://www.cityofchicago.org/city/en/depts/dhr/supp_info/administrative_services0100.html,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/Administrative/0100_Accounting_And_Finance_Series/0184_Accounting%20Technician_III.pdf
9745,Department of Transportation,https://www.cityofchicago.org/city/en/depts/cdot/supp_info/digger_members1.html,https://www.cityofchicago.org/content/dam/city/depts/cdot/permit/general/DiggerMembership04-20-17.pdf
13542,Department of Law,https://www.cityofchicago.org/city/en/depts/dol/supp_info/city_of_chicago_collectivebargainingagreements.html,https://www.cityofchicago.org/content/dam/city/depts/dol/Collective Bargaining Agreement2/BU33CEMENTMASONSLOCAL502.pdf
10839,Board of Ethics,https://www.cityofchicago.org/city/en/depts/ethics/supp_info/ao-outsideemploy.html,https://www.cityofchicago.org/content/dam/city/depts/ethics/general/Deck%20Chairs/NerFid/96046.pdf
23709,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/zba-decision---1987-present.html,https://www.cityofchicago.org/content/dam/city/depts/zlup/Administrative_Reviews_and_Approvals/Publications/ZBAsignedresolutions/2006_09SEP_signed_resolutions_OCR.pdf
25072,Chicago Police Board,https://www.cityofchicago.org/city/en/depts/cpb/auto_generated/public_meetings_archives.html,https://www.cityofchicago.org/content/dam/city/depts/cpb/PubMtgMinutes/PubMtgTranscript10192017.pdf
27031,None,https://www.cityofchicago.org/cityarchives/procurement/auctions/auctionaugust062005/trucks1041_1060.html,https://www.cityofchicago.org/cityarchives/procurement/auctions/auctionaugust062005/Lot1045.pdf
16819,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/tif/division_north_branchtif.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/plans/T_018_DivisionNorthBranchRDP.pdf
26342,Department of Human Resources,https://www.cityofchicago.org/city/en/depts/dhr/supp_info/Job_Specification_Alpah_Order.html,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/JobSpecName/PUBLIC-HEALTH-ADMINISTRATOR-I_3465.pdf
13607,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/citywide-retail-market-analysis.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/supp_info/Retail_Study/Citywide_Retail_Market_Analysis_2013_Web-3.pdf
14123,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/contract_award_listings1999-2002.html,https://www.cityofchicago.org/content/dam/city/depts/dps/AwardedContracts1999to2002/2002AwardedContracts/July2002_Awards.pdf
4989,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2005_prebid_conferenceattendees.html,https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2005PreBids/39823.pdf
3605,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2002_september_bidtabulations0.html,https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2002BidTabs/Sep/B29648006.9.4.02.pdf
24026,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/zoning_board_of_appeals.html,https://www.cityofchicago.org/content/dam/city/depts/zlup/Administrative_Reviews_and_Approvals/Publications/ZBA_Appeal_Checklist_DEC2017_rev.pdf
9306,Office of Budget and Management,https://www.cityofchicago.org/city/en/depts/obm/supp_info/annual-budget-recommendations---documents/201_Budget_Hearings_Opening_Statements.html,https://www.cityofchicago.org/content/dam/city/depts/obm/supp_info/2017%20Budget/DepartmentStatements/WaterStatement2017.pdf
7538,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2011_prebid_conferenceattendees.html,https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2011PreBids/PreBid101998.pdf
11167,Board of Ethics,https://www.cityofchicago.org/city/en/depts/ethics/supp_info/ao_-_sfi.html,https://www.cityofchicago.org/dam/city/depts/ethics/general/AO_SFI/95008.E.pdf
14414,Department of Public Health,https://www.cityofchicago.org/city/en/depts/cdph/supp_info/health-protection/current_flu_situationinchicago.html,https://www.cityofchicago.org/content/dam/city/depts/cdph/H1N1_swine_flu/FluUpdate/FluUpdate_Week15_20100423.pdf
12948,Department of Business Affairs and Consumer Protection,https://www.cityofchicago.org/city/en/depts/bacp/supp_info/plans_of_operation.html,https://www.cityofchicago.org/content/dam/city/depts/bacp/PlansofOperation/planofoperation2150wdevon.pdf
24168,Department of Buildings,https://www.cityofchicago.org/city/en/depts/bldgs/provdrs/stand_plan/svcs/Matrix.html,https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/SPR/ChicagoBuildingCodeandZoningOrdinanceMatrix.pdf
19840,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/tif/north_pullman_tif.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/T_167_PullmanParkPIN.pdf
2606,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2001_december_bidtabulations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2001BidTabs/Dec/C760010004.12.17.01.pdf
16647,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/district-annual-reports--2015-.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/15reports/T_171_WestWoodlawnAR15.pdf
