pdf_id`pdf_url`dl_status`scrape_status`num_pages`num_pages_scraped`is_fillable`text
1851`https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2000BidTabs/Aug/B09062901.8.28.00.pdf`Error`too many values to unpack (expected 2)
19357`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/T_095_SinaiPIN.pdf`Error`too many values to unpack (expected 2)
16861`https://www.cityofchicago.org/content/dam/city/depts/cdph/emergency_preparedness/EbolaFactSheet__SC.pdf`Error`too many values to unpack (expected 2)
8713`https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2014PreBids/PreBid124716.pdf`Error`too many values to unpack (expected 2)
12625`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/plans/T_086_CentralWestRDPORD.pdf`Error`too many values to unpack (expected 2)
4934`https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2005PreBids/11590.pdf`Error`too many values to unpack (expected 2)
13262`https://www.cityofchicago.org/content/dam/city/depts/zlup/Planning_and_Policy/Agendas/CPC_Oct_2017_Final_Map.pdf`Error`too many values to unpack (expected 2)
5370`https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2006PreBids/PreBid44661.pdf`Error`too many values to unpack (expected 2)
24913`https://www.cityofchicago.org/content/dam/city/depts/cdot/bicycling/bikemaps/bikemap_uc2005.pdf`Error`too many values to unpack (expected 2)
17978`https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2016construction/jan_2016/20160104_Keating_39w.pdf`Error`too many values to unpack (expected 2)
